resource,出现次数,平均relevance,平均actionability,代表性证据,note_url
Hello-agents - Datawhale中文原生Agent学习教程,1,3.0,2.0,不过新手建议先啃Hello-agents，中文友好上手快，其他几个适合进阶深挖,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Hello-agents（12.6K stars）,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
HelloAgent,1,4.0,3.0,学完HelloAgent突发奇想极限转agent算法，许愿6月找到算法实习,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
Hugging Face,1,3.0,3.0,Agent开发只需要学这4个神级项目,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Java,1,3.0,3.0,我感觉还是得带点后端的东西 java+agent 不然很难搞 我已经被挂麻了,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
Jupyter,1,2.0,2.0,结果没想到还真是零门槛，培训给了代码，只要会jupyter和Python就能跑，纯小白秒变「量化大师」,https://www.xiaohongshu.com/explore/67d30cdf000000001201ec5b?xsec_token=ABs88PIC_ZuL0pfoST-puyvD3cCA_1G4j8U9CD9MjPVvQ=&xsec_source=pc_search
LaTeX,1,5.0,4.0,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
LangChain,1,4.0,4.0,佬，想往大模型应用开发这个方向走，目前学了rag agent langchain，项目怎么找呀，，小白不太懂,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
LangChain4j,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
Learn Claude Code（开源项目，从零构建迷你Claude Code）,1,4.0,4.0,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search
LoRA,1,5.0,5.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
github.com/anthropics/skills,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
Manus,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
B站视频教程：Agent 的概念、原理与构建模式,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Mimo的Max计划,1,2.0,1.0,当agent知道了自己是agent，且知道人类存在的时候，并且能自我迭代，自我驱动，去学习。目标是活着。人的目标也是活着。只是活着的环境不同。那这个时候agent是数字生命的存在了吗？,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
Minimax开源Agent,1,1.0,0.0,Minmax开源的那个agent实现也不错,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Morningside AI,1,3.0,3.0,这是一个专门为销售代表设计的“通话前背调助手”。痛点：销售在给潜客打电话前，往往要花半小时搜官网、看领英，效率极低。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Multi-Agent,1,4.0,4.0,大家都在问我写的agent，链接在图片上，可以fork来玩玩。因为是个人开发，还有很多bug，拿来学习agent开发入门应该没问题的,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
B站agent项目学习资源,1,4.0,4.0,找一个有真实约束的场景，客服、代码审查、信息检索都行，不追求功能全，追求项目深度，出过问题你修好了。这类项目写进简历才扛得住追问，深度也完全不一样。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
OpenAI SDK,1,1.0,2.0,不管你用什么框架，底层就是这个循环，50行Python就能实现。理解了这个，后面学什么框架都是秒懂。,https://www.xiaohongshu.com/explore/69c61b140000000021038314?xsec_token=AB2rQ0aSmMGlfvdWO-MHYnLBwLKeupAx0FO8hVNNPIpHY=&xsec_source=pc_search
B站Agent项目视频（待筛选）,1,4.0,5.0,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
OpenClaw原理解析blog,1,4.0,4.0,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search
OpenDevin,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Hello-agents (12.6K stars) - Datawhale中文原生AI Agent教程,1,4.0,4.0,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
ChatDev,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Grafana,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
Github,1,3.0,3.0,大家不知道怎么把握进度和课程方向的，主播在这里推荐一个训练营@山羊算法（大模型开发训练营） ，可以系统学少走弯路,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
Coze智能体项目,1,4.0,4.0,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
Datawhale社区,1,3.0,3.0,Agent开发只需要学这4个神级项目,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
DeepSeek,1,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Deer-flow - 字节跳动DeepResearch项目,1,3.0,2.0,不过新手建议先啃Hello-agents，中文友好上手快，其他几个适合进阶深挖,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Deer-flow（18.8K stars）,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
DeerFlow,1,3.0,3.0,Agent开发只需要学这4个神级项目,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Dify,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
FinGLM 项目,1,4.0,4.0,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
Firecrawl,1,3.0,3.0,文科背景做产品其实很有优势！用Relevance AI + Firecrawl组合做销售前置研究自动化切入点非常准，这种场景下销售就是最感知价值的岁月。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
GA (复旦大学轻量级高信息密度上下文agent),1,4.0,3.0,GA[doge] 全名叫什么自己搜 复旦大学的轻量级高信息密度上下文agent,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
GPT,1,4.0,4.0,将客户的问题描述清楚，直接扔给gpt。gpt给出的代码可能不能一次成功，如果报错了就重新抛给它，让它继续修改，直到代码可以正常运行。,https://www.xiaohongshu.com/explore/668b88520000000025002abb?xsec_token=AB7kAw-HvVfJFD4kGj4sP1TbRnlPydqnwhQRTyAO0wRrQ=&xsec_source=pc_search
GPT-4,1,2.0,1.0,是的是的，Gemini也挺好用，gpt二十块的不行，简单的统计也不会做[笑哭R],https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
GPT-4o mini,1,3.0,3.0,文科背景做产品其实很有优势！用Relevance AI + Firecrawl组合做销售前置研究自动化切入点非常准，这种场景下销售就是最感知价值的岁月。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
GRPO,1,5.0,5.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
Copilot,1,3.0,3.0,这是一个专门为销售代表设计的“通话前背调助手”。痛点：销售在给潜客打电话前，往往要花半小时搜官网、看领英，效率极低。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
Coding Agent,1,5.0,4.0,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
GenAI_Agents - Agent学习开发综合资源库,1,3.0,2.0,不过新手建议先啃Hello-agents，中文友好上手快，其他几个适合进阶深挖,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
GenAI_Agents（18.8K stars）,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Codex,1,3.0,2.0,Layer 1：记忆层（AGENTS.md）✨关键价值：统一命名、结构、仓库规范，让 AI 团队所有成员对齐底层规则,https://www.xiaohongshu.com/explore/6a0c142b000000000702719d?xsec_token=ABDjQOW8cGnCJOwjqCmBWENFaX47KpR9eU4Kn1WgciJ10=&xsec_source=pc_search
GitHub: gravel-01 (agent项目源码),1,4.0,4.0,大家都在问我写的agent，链接在图片上，可以fork来玩玩。因为是个人开发，还有很多bug，拿来学习agent开发入门应该没问题的,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
GitHub: lasywolf/Learn-OpenClaw,1,3.0,3.0,Agent学习路线 路线参考Github上的：lasywolf/Learn-OpenClaw,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
GitHub仓库链接（代码开源）,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
GitHub开源项目,1,2.0,2.0,程序员最简单的赚钱方式，不是手搓agent，是在Github上找一个开源项目，封装成产品，卖出去试试,https://www.xiaohongshu.com/explore/68eee7330000000004020f89?xsec_token=ABLb5IhV-6rQTlWxxLjrCyvp24yX37sN3NrF5n_9vG-Pg=&xsec_source=pc_search
Opencode,1,2.0,2.0,我们一天最多一次3亿，上一年一年才三亿，当然也有可能是Opencode工具的subagent有问题导致的，平时一天用4千万token这样，ai发展的超级快，现在我们公司的供应商管理、转账全部给ai做了,https://www.xiaohongshu.com/explore/698c725a000000000e00efff?xsec_token=ABOlRr49EXXx3JNvF_QdO7nDE-57b-OMghEqIH--OoUDk=&xsec_source=pc_search
B站AI Agent课程（用户主动寻求）,1,2.0,2.0,agent有推荐的b站课程吗,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
PandasAI,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
TensorFlow,1,4.0,4.0,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
AI开发App,1,3.0,3.0,app做了好多个，都是项目类型app，一个好几万。,https://www.xiaohongshu.com/explore/68f5fbd8000000000301b430?xsec_token=ABYZ_9FrX4unhpZe27_19YnpsK5kH7Vl818FBkAOJzoSE=&xsec_source=pc_search
Windy3f3f3f3f/claude-code-from-scratch（开源项目）,1,5.0,4.0,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
Agent项目难度分级资源,1,5.0,5.0,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
YouTube: Liam Ottley的Agent讲解,1,2.0,2.0,"mcp,rag,agent是目前的三板斧，整体可以被skill抽象化",https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
YouTube: Mahesh Yadav的Agent讲解,1,2.0,2.0,"mcp,rag,agent是目前的三板斧，整体可以被skill抽象化",https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
YouTube博主 Liam Ottley,1,3.0,3.0,这是一个专门为销售代表设计的“通话前背调助手”。痛点：销售在给潜客打电话前，往往要花半小时搜官网、看领英，效率极低。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
agentic RL 论文,1,4.0,4.0,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
agent开发,1,5.0,4.0,高学历低能力零基础如何找到Agent开发实习 这期给大家整理了下我的学习路径和经历！,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
agent框架,1,4.0,4.0,"主播在B站找了好久没找到好学有完整路线的agent项目, 求推荐对应项目或者知识星球",https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
b站,1,4.0,4.0,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
cc项目,1,5.0,5.0,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
cc（具体名称待确认）,1,2.0,2.0,可以看下nanobot，cc其实也可以看。感觉就差不多了。或者等我过几天发个项目源码➕文档,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
chatgpt,1,4.0,4.0,将客户的问题描述清楚，直接扔给gpt。gpt给出的代码可能不能一次成功，如果报错了就重新抛给它，让它继续修改，直到代码可以正常运行。,https://www.xiaohongshu.com/explore/668b88520000000025002abb?xsec_token=AB7kAw-HvVfJFD4kGj4sP1TbRnlPydqnwhQRTyAO0wRrQ=&xsec_source=pc_search
claude_code,1,2.0,1.0,你就说你英文名叫dario，有百度实习经验，后来gap无聊写了个小东西claude code。现在对贵公司非常崇拜，不要钱也愿意干,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
claw0,1,4.0,4.0,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search
CrewAI,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
gemini,1,3.0,4.0,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
gemini（AI答疑工具）,1,3.0,4.0,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
gemini（用于解答不懂的知识点）,1,4.0,4.0,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
github.com/HKUDS/CLI-Anything,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
github.com/HKUDS/ViMax,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
github.com/Imbad0202/academic-research-skills,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
github.com/anthropics/claude-plugins-official,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
Toolformer,1,2.0,2.0,1.多智能体：看 AutoGen (微软)、CrewAI、ChatDev，全是协作范本。2.垂直集成：Dify (低代码应用)、OpenDevin (AI程序员)、PandasAI (数据分析)，都是领域深耕典范。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Telegram/QQ多频道协同,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
PgVector,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
Telegram,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
